id,domain,company_name,website,phone,email,contact_type,city,state,states_served_count,nationwide,description,min_loan_amount,max_loan_amount,max_ltv,max_arv,min_interest_rate,max_interest_rate,min_points,max_points,min_term_months,max_term_months,interest_only,nmls_id,aapl_member,year_founded,credit_check_policy,min_credit_score,no_credit_check,source,states_served,loan_products,display_loan_range,display_max_ltv,display_max_arv,display_interest_rate,display_points,display_term
66,14thstreetcapital.com,14th Street Capital,https://14thstreetcapital.com,,,web_only,,,51,True,"14th Street Capital offers hard money loans for real estate investors, including fix and flip, rental, and landlord loans with flexible terms and quick funding.",100000,,0.85,,0.058,0.15,1.0,3.5,3,60,True,,,,none,,True,brave_search,AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,fix_flip|refi|rental,$100K,85%,,6% – 15%,1 – 3.5 pts,3 – 60 mo
220,1floridalending.com,1st Florida Lending Corp.,https://1floridalending.com,(407) 300-2558,,phone_only,,FL,19,False,Florida’s Top-Rated Direct Mortgage Lender Offering 48+ Loan Programs including Hard Money and Fix & Flip Loans.,,3000000,0.85,,,,,,,,True,,,2007,hard_pull,580,False,brave_search,AL|AZ|CA|FL|GA|IA|IL|KS|KY|LA|MN|MT|ND|OK|PA|SC|SD|TX|WV,bridge|commercial|construction|fix_flip|rental,$3M,85%,,,,
255,1stnwm.com,1st Nationwide Mortgage,https://1stnwm.com,(888) 400-0433,,phone_only,Irvine,CA,18,False,"1st Nationwide Mortgage specializes in non-QM loans including bank statement, DSCR, and NONI investment loans for self-employed and real estate investors.",100000,3500000,0.85,,,,,,,480,,1281,,2005,hard_pull,620,False,brave_search,AK|AL|AZ|CA|CO|FL|GA|IA|ID|MT|NC|OH|OR|SC|TN|TX|VA|WA,commercial|dscr,$100K – $3.5M,85%,,,,480 mo
330,aafundcorp.com,A & A Funding Corp,https://aafundcorp.com,(602) 494-8980,info@aafundcorp.com,phone_email,Scottsdale,AZ,1,False,"A & A Funding Corp specializes in hard money and non-prime loans, providing fast funding and flexible solutions for residential and commercial properties.",25000,1500000,0.8,0.95,,,,,6,60,True,162461,,,none,,True,brave_search,AZ,bridge|commercial|construction|multifamily|rental,$25K – $1.5M,80%,95%,,,6 – 60 mo
344,atozcapitallending.com,"A to Z Capital, Inc.",https://atozcapitallending.com,(561) 609-6699,info@atozcapitallending.com,phone_email,Boca Raton,FL,1,False,"A to Z Capital is a Florida lender offering hard money loans, cash-out refinances, and various investment property financing options.",,,,,,,,,,,,,,,,,False,brave_search,FL,cash_out|fix_flip|rental,,,,,,
141,a4cp.com,A4 Capital Partners,https://a4cp.com,(203) 941-1055,originations@a4cp.com,phone_email,New York,NY,16,False,"A4 Capital Partners provides fast and flexible financing solutions for real estate investors, specializing in fix and flip, refinance, and new construction loans.",250000,,0.75,0.9,0.085,,,,12,24,True,,,,hard_pull,,False,brave_search,CT|DE|FL|GA|MA|MD|ME|NC|NH|NJ|NY|PA|RI|SC|TN|VA,fix_flip|refi,$250K,75%,90%,8%,,12 – 24 mo
226,coloansonline.com,Abbey Mortgage & Investments,https://coloansonline.com,(970) 532-4243,info@coloansonline.com,phone_email,Berthoud,CO,1,False,"Abbey Mortgage & Investments specializes in private money loans for real estate investors in Colorado, offering fast funding and flexible terms.",,,,,0.12,0.13,,,,,True,,,,none,,True,brave_search,CO,commercial|construction|fix_flip|refi|rental,,,,12% – 13%,,
331,abelfunding.com,Abel Commercial Funding,https://abelfunding.com,(301) 200-9801,info@abelfunding.com,phone_email,Rockville,MD,1,False,Abel Commercial Funding provides alternative financing solutions including hard money and bridge loans for commercial real estate and business needs.,100000,100000000,0.8,,0.09,0.14,1.0,4.0,,,True,,,,soft_pull,,True,brave_search,MD,bridge|fix_flip,$100K – $100M,80%,,9% – 14%,1 – 4 pts,
15,accolend.com,Accolend,https://accolend.com,(201) 643-6650,sales@accolend.com,phone_email,Paramus,NJ,8,False,"Accolend offers a variety of Hard Money loan products to help real estate investors achieve their goals, including fix and flip, ground-up construction, bridge loans, and DSCR/rental property loans.",115000,8000000,0.85,0.7,0.0999,0.11,,,6,24,,,,,hard_pull,620,False,brave_search,CA|FL|LA|MA|NJ|NY|OH|TX,bridge|dscr|fix_flip|ground_up|rental,$115K – $8M,85%,70%,10% – 11%,,6 – 24 mo
332,accunet.com,Accunet Mortgage,https://accunet.com,(262) 781-1100,info@accunet.com,phone_email,Waukesha,WI,4,False,Accunet Mortgage is a top-ranked direct-to-consumer lender offering various mortgage solutions including refinancing and bridge loans.,,,0.8,,,,,,,,True,255368,,1999,none,,True,brave_search,FL|IL|MN|WI,bridge|refi,,80%,,,,
333,actiumlending.com,Actium Lending,https://actiumlending.com,(801) 983-6700,,phone_only,Salt Lake City,UT,3,False,"Actium Lending specializes in hard money and bridge loans for real estate, providing quick access to funds and flexible terms.",,,,,,,,,,,,,,,none,,True,brave_search,CO|ID|UT,bridge,,,,,,
190,actiumpartners.com,Actium Partners,https://actiumpartners.com,(801) 983-6700,info@actiumpartners.com,phone_email,Salt Lake City,UT,2,False,Actium Partners offers bridge loans and hard money loans to help clients achieve their financial goals quickly and efficiently.,,,,,0.1,0.12,,,,12,,,,2004,,,False,brave_search,CO|ID,bridge,,,,10% – 12%,,12 mo
335,advestfunding.com,Advest Funding,https://advestfunding.com,(215) 234-1567,,phone_only,Newtown,PA,3,False,"A Pennsylvania based hard money lender specializing in fast, flexible, and reliable funding solutions for builders, developers, and investors.",,,0.8,,,,,,,,True,,,,,,False,brave_search,NJ|NY|PA,bridge|construction|fix_flip,,80%,,,,
336,agavehomeloans.com,Agave Home Loans,https://agavehomeloans.com,(833) 316-3170,info@agavehomeloans.com,phone_email,Phoenix,AZ,1,False,"Agave Home Loans offers a variety of mortgage products including VA, FHA, conventional, jumbo, cash-out, HELOC, and home equity loans.",,,,,,,,,,,,1951574,,,,,False,brave_search,AZ,cash_out,,,,,,
232,harddmoneyloans.com,AHL Hard Money Network,https://harddmoneyloans.com,(813) 368-9919,ahlmoneyintampa@yahoo.com,phone_email,Tampa,FL,1,False,"AHL Hard Money Network provides hard and private money loans for various property types in Florida, focusing on equity-based financing.",50000,5000000,0.7,,0.09,0.12,,,,,,,,,none,,True,brave_search,FL,bridge|commercial|fix_flip|multifamily|refi|rental,$50K – $5M,70%,,9% – 12%,,
175,advancedinvestmentcorp.com,AIC Advanced Investment Corp,https://advancedinvestmentcorp.com,(503) 342-2000,,phone_only,West Linn,OR,1,False,AIC is a hard money lender specializing in private money loans for various real estate projects across Oregon.,,,0.65,,,,,,,,,278210,,1984,none,,True,brave_search,OR,fix_flip|refi,,65%,,,,
155,acalending.com,All California Lending,https://acalending.com,(877) 462-3422,cgoulart@acalending.com,phone_email,Brentwood,CA,1,False,"All California Lending specializes in hard money loans and commercial loans in California, offering flexible funding solutions.",,,0.65,,,,,,,,,298819,,,none,,True,brave_search,CA,bridge|commercial|construction|dscr|fix_flip|ground_up|multifamily|refi|rental,,65%,,,,
257,allegiancecu.org,Allegiance Credit Union,https://allegiancecu.org,(405) 789-7900,,phone_only,Oklahoma City,OK,1,False,Allegiance Credit Union offers a variety of loan products including bridge loans and construction loans to help homeowners in Oklahoma finance their real estate needs.,20000,,0.8,,0.06375,0.075,,,,,True,,,,hard_pull,620,False,brave_search,OK,bridge|construction,$20K,80%,,6% – 8%,,
19,alohaprivatelending.com,Aloha Capital,https://alohaprivatelending.com,(303) 245-0291,,phone_only,Boulder,CO,51,True,"Aloha Capital offers fast, flexible, and reliable financing for real estate investment opportunities, including Fix & Flips, BRRRRs, and Multifamily Value-Add projects.",,,0.8,,,,,,,,,,,2015,,,False,brave_search,AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,bridge|brrrr|construction|dscr|fix_flip|multifamily|rental,,80%,,,,
90,alphafunding.com,Alpha Funding,https://alphafunding.com,(908) 900-4894,,phone_only,Red Bank,NJ,51,True,"Alpha Funding provides hard money loans for real estate investors, specializing in fix and flip, new construction, rental DSCR, and cash-out refinance options.",75000,2000000,0.8,,0.0575,,,,,360,,,,2007,hard_pull,680,False,brave_search,AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,cash_out|dscr|fix_flip,$75K – $2M,80%,,6%,,360 mo
94,alphafundingcorp.com,Alpha Funding Corp,https://alphafundingcorp.com,(800) 957-1890,info@afunding.com,phone_email,Las Vegas,NV,51,True,"Alpha Funding Corp is a leading private money lender offering commercial bridge loans and hard money loans nationwide, with flexible terms and competitive rates.",2000000,100000000,0.75,,0.0775,,1.75,2.75,12,60,,,,,none,,True,brave_search,AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,bridge|commercial|multifamily,$2M – $100M,75%,,8%,1.75 – 2.75 pts,12 – 60 mo
337,alpinecommercialfunding.com,Alpine Commercial Funding,https://alpinecommercialfunding.com,(402) 210-3979,ao@alpinecommercialfunding.com,phone_email,Bennington,NE,1,False,"Alpine Commercial Funding offers hard money lending and various financing solutions for commercial real estate, including fix-and-flip loans and bridge loans.",,,,,,,,,,,,,,,none,,True,brave_search,NE,bridge|fix_flip,,,,,,
29,ahlend.com,"American Heritage Lending, LLC",https://ahlend.com,(800) 745-9280,info@ahlend.com,phone_email,Irvine,CA,51,True,"American Heritage Lending specializes in providing real estate investors with flexible and reliable financing solutions, including fix and flip, bridge, and new construction loans.",,3000000,0.95,0.75,0.0799,,0.0,,12,18,True,93735,,2004,none,,True,brave_search,AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,bridge|construction|fix_flip|rental,$3M,95%,75%,8%,0 pts,12 – 18 mo
338,americanherohomeloans.com,American Hero Home Loans,https://americanherohomeloans.com,(219) 695-0369,sswinford@hancockmortgage.com,phone_email,Crown Point,IN,1,False,"American Hero Home Loans specializes in providing mortgage solutions for veterans, military personnel, and first responders, offering various loan products including VA loans and DSCR loans for real estate investors.",100000,,,,,,,,,,,138422,,,hard_pull,620,False,brave_search,IN,commercial|dscr,$100K,,,,,
258,americanloans.com,American Home Loans,https://americanloans.com,(801) 262-2221,,phone_only,Sandy,UT,1,False,"American Home Loans offers a variety of mortgage products including hard money loans, construction loans, and investment property loans in Utah.",,5000000,0.95,,,,,,,,,245422,,1994,hard_pull,500,False,brave_search,UT,construction|rental,$5M,95%,,,,
191,amilenders.com,AMI Lenders,https://amilenders.com,(713) 682-4400,info@amilenders.com,phone_email,Houston,TX,1,False,AMI Lenders is a Private Mortgage Lender providing Houston with Hard Money Loans for residential or commercial real estate investments.,,,0.7,,,,,,12,60,,320385,,1990,,,False,brave_search,TX,bridge|commercial|fix_flip,,70%,,,,12 – 60 mo
339,amplend.net,Amplend,https://amplend.net,(855) 267-1363,hello@amplend.net,phone_email,,NJ,38,False,"Amplend is a private money lender specializing in flexible financing solutions for real estate investors, offering various loan programs including fix and flip, bridge, rental, and new construction loans.",70000,3000000,0.85,,0.0625,0.0725,0.0,2.0,12,24,True,,,,hard_pull,660,False,brave_search,AL|AR|CO|CT|DC|DE|FL|GA|IA|IL|IN|KS|KY|LA|MA|MD|ME|MI|MO|MS|MT|NC|NE|NH|NJ|NM|NY|OH|OK|PA|RI|SC|TN|TX|WA|WI|WV|WY,bridge|construction|dscr|fix_flip,$70K – $3M,85%,,6% – 7%,0 – 2 pts,12 – 24 mo
40,anchorloans.com,Anchor Loans,https://anchorloans.com,(888) 719-5299,info@anchorloans.com,phone_email,Thousand Oaks,CA,6,False,"Anchor Loans is the nation’s leading private, direct lender to experienced residential real estate investors, brokers, and builders.",100000,2000000,,,,,,,,,,2289894,,1998,hard_pull,660,False,brave_search,AZ|CA|FL|GA|NV|TN,bridge|brrrr|cash_out|commercial|construction|dscr|fix_flip|ground_up|multifamily|refi|rental,$100K – $2M,,,,,
142,angeloakms.com,Angel Oak Mortgage Solutions,https://angeloakms.com,(855) 539-4910,info@angeloakms.com,phone_email,Atlanta,GA,1,False,"Angel Oak Mortgage Solutions specializes in non-QM lending, offering innovative mortgage solutions for underserved borrowers.",100000,4000000,0.9,,,,,,,,,1160240,,,hard_pull,640,False,brave_search,GA,cash_out|dscr|refi,$100K – $4M,90%,,,,
36,apartmentloanstore.com,Apartment Loan Store,https://apartmentloanstore.com,(503) 376-7303,,phone_only,Portland,OR,51,True,"Apartment Loan Store specializes in multifamily and commercial loans, offering a variety of loan products with competitive rates.",1000000,,0.85,,0.0555,0.12,,,60,420,True,,,1997,hard_pull,680,False,brave_search,AK|AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,bridge|cash_out|commercial|construction|multifamily|refi,$1M,85%,,6% – 12%,,60 – 420 mo
341,apexmoneylending.com,Apex Money Lending Group,https://apexmoneylending.com,(720) 365-4344,info@apexmoneylending.com,phone_email,,CO,1,False,"Apex Money Lending Group specializes in hard money loans in Colorado, providing quick financing based on property value rather than credit scores.",100000,2000000,0.65,,0.12,,3.0,,6,36,True,,,,none,,True,brave_search,CO,bridge|construction|fix_flip,$100K – $2M,65%,,12%,3 pts,6 – 36 mo
342,applewoodfund.com,Applewood Funding Inc,https://applewoodfund.com,(602) 497-4444,info@applewoodfund.com,phone_email,Scottsdale,AZ,1,False,"Private Hard Money Lender in Arizona offering various loan products including fix and flip, rental, and construction loans.",,,1.0,,0.0599,0.189,,,3,360,,175371,,,none,,True,brave_search,AZ,bridge|construction|fix_flip|rental,,100%,,6% – 19%,,3 – 360 mo
259,arcprivatelending.com,ARC Private Lending,https://arcprivatelending.com,(707) 543-1588,loans@arcprivatelending.com,phone_email,Santa Rosa,CA,1,False,"ARC Private Lending specializes in providing hard money loans for residential and commercial properties in California, catering to borrowers who may not qualify for traditional bank loans.",250000,,0.7,,,,,,,,,334620,,,none,,True,brave_search,CA,bridge|cash_out|commercial|fix_flip|rental,$250K,70%,,,,
343,archwestcapital.com,Archwest Capital,https://archwestcapital.com,(844) 922-2724,,phone_only,Irvine,CA,5,False,"Providing fast and efficient loans to investors in residential real estate, from ground-up construction to fix-and-flip and long-term rental hold.",75000,5000000,0.95,,,,,,6,30,,2674250,,,,,False,brave_search,AZ|CA|ID|OR|TN,bridge|dscr|fix_flip|ground_up,$75K – $5M,95%,,,,6 – 30 mo
346,azmtgi.com,"Arizona Mortgage & Investments, LLC",https://azmtgi.com,(480) 565-1200,jim@azmtgi.com,phone_email,Scottsdale,AZ,1,False,We offer creative commercial and residential hard money real estate lending solutions tailored to our clients’ needs.,,,,,,,,,,,,1502345,,,none,,True,brave_search,AZ,commercial|construction|fix_flip|rental,,,,,,
345,azmortgagebrothers.com,Arizona Mortgage Brothers,https://azmortgagebrothers.com,(602) 535-2171,,phone_only,Phoenix,AZ,1,False,"Arizona Mortgage Brothers provides reliable mortgage solutions for homebuyers and homeowners throughout Arizona, including private money lending options.",,,,,,,,,,,,1007154,,,hard_pull,620,False,brave_search,AZ,bridge|commercial|construction|fix_flip|multifamily|refi|rental,,,,,,
221,arkad.capital,Arkad Capital,https://arkad.capital,(732) 627-1141,info@arkad.capital,phone_email,Plainfield,NJ,47,False,"Arkad Capital is a hard money lender specializing in fix and flip, rental, and new construction loans with competitive rates and flexible terms.",,,,,,,,,,,,,,,,,False,brave_search,AK|AL|AR|AZ|CA|CO|CT|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|RI|SC|TN|TX|UT|VA|WA|WI|WV|WY,construction|dscr|fix_flip|rental,,,,,,
