field,category,status,postgres_type,records_populated,fill_pct,powers_filter,notes
id,identity,existing,INTEGER PRIMARY KEY,484,100.0%,,Stable across regenerations — saved_directory_contacts.entity_id references it. Never renumber.
domain,identity,existing,TEXT NOT NULL UNIQUE,484,100.0%,,Natural dedupe key. Use this to upsert rather than id when merging a new scrape.
company_name,identity,existing,TEXT NOT NULL,484,100.0%,name search,
website,identity,existing,TEXT NOT NULL,484,100.0%,,
phone,contact,existing,TEXT,454,93.8%,,Null implies web_only contact_type.
email,contact,existing,TEXT,279,57.6%,,
contact_type,contact,existing,TEXT NOT NULL,484,100.0%,include web-only toggle,Enum: phone_only | email_only | phone_and_email | web_only.
city,location_hq,existing,TEXT,398,82.2%,,"Headquarters city, NOT a service area. Needed to derive hq_county."
state,location_hq,existing,CHAR(2),427,88.2%,,"Headquarters state, NOT a service area. Powers the 'HQ in <state>' locality badge."
hq_county,location_hq,new,TEXT,0,0.0%,,"NEW. Format 'Palm Beach County, FL'. Derivable from city+state via the ZIP/county crosswalk."
hq_zip,location_hq,new,TEXT,0,0.0%,,NEW. 5-digit. Easiest reliable geocoding anchor; derive hq_county and lat/lng from it.
hq_lat,location_hq,new,"NUMERIC(9,6)",0,0.0%,,NEW. Only required if you want radius-based 'lenders near this deal' ranking.
hq_lng,location_hq,new,"NUMERIC(9,6)",0,0.0%,,NEW. Pairs with hq_lat.
states_served,coverage,existing,TEXT[] NOT NULL,484,100.0%,State filter,Only coverage dimension that exists today. 2-letter codes.
states_served_count,coverage,existing,INTEGER NOT NULL,484,100.0%,,"Denormalized len(states_served). Drop it in Postgres and compute, or keep for sort speed."
nationwide,coverage,existing,BOOLEAN NOT NULL,484,100.0%,,True at 51 states served. Used to rank nationwide shops below local ones.
counties_served,coverage,new,TEXT[],0,0.0%,County filter (BLOCKER),"NEW. REQUIRED for a county filter. Format 'Palm Beach County, FL'. Empty array must mean 'not published', never 'serves none' — see coverage_granularity."
coverage_granularity,coverage,new,TEXT NOT NULL,0,0.0%,result labelling,NEW. REQUIRED. Enum: nationwide | state | county. Tells the UI how precise the match is so we can say 'licensed in FL' vs 'lends in Palm Beach County' without overstating.
excluded_states,coverage,new,TEXT[],0,0.0%,,"NEW. Optional. Many 'nationwide' lenders exclude a handful of states (commonly ND, SD, VT, AZ, MN). Cheap accuracy win — today all 79 nationwide records claim all 51."
lending_radius_miles,coverage,new,INTEGER,0,0.0%,,NEW. Optional. Alternative to counties_served for local lenders that advertise a radius.
metro_areas_served,coverage,new,TEXT[],0,0.0%,,NEW. Optional. CBSA/metro names. Often published when county lists are not.
loan_products,loan_terms,existing,TEXT[] NOT NULL,477,98.6%,Loan product filter,Enum values: fix_flip | brrrr | dscr | bridge | rental | refi | construction | commercial.
description,loan_terms,existing,TEXT,484,100.0%,,
min_loan_amount,loan_terms,existing,INTEGER,256,52.9%,,
max_loan_amount,loan_terms,existing,INTEGER,252,52.1%,'funds at least' filter,Filter compares max_loan_amount >= threshold; nulls currently pass through.
max_ltv,loan_terms,existing,"NUMERIC(4,3)",307,63.4%,,"Decimal, e.g. 0.85."
max_arv,loan_terms,existing,"NUMERIC(4,3)",60,12.4%,,Decimal.
min_interest_rate,loan_terms,existing,"NUMERIC(5,4)",212,43.8%,,"Decimal, e.g. 0.058."
max_interest_rate,loan_terms,existing,"NUMERIC(5,4)",137,28.3%,,Decimal.
min_points,loan_terms,existing,"NUMERIC(4,2)",104,21.5%,,
max_points,loan_terms,existing,"NUMERIC(4,2)",78,16.1%,,
min_term_months,loan_terms,existing,INTEGER,246,50.8%,,
max_term_months,loan_terms,existing,INTEGER,252,52.1%,,
interest_only,loan_terms,existing,BOOLEAN,210,43.4%,,
credit_check_policy,credit,existing,TEXT,343,70.9%,Credit policy filter,Enum: none | soft_pull | hard_pull.
